Title,Company,Location,Posted Date,Job Link,Description
Growth Data Scientist/ Analyst,Crypto.com,United States,2025-04-08,https://www.linkedin.com/jobs/view/growth-data-scientist-analyst-at-crypto-com-4202438901?position=7&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=KaTYaFtoPfowdcxltHCtqw%3D%3D,"We are seeking a dynamic Growth Data Scientist/Analyst to join our Growth team. The successful candidate will be instrumental in leveraging data to drive strategic decisions, optimize growth initiatives, and enhance user acquisition strategies.

Responsibilities"
Data Scientist (L5) - Netflix Preview Club,Netflix,United States,2025-04-23,https://www.linkedin.com/jobs/view/data-scientist-l5-netflix-preview-club-at-netflix-4211646000?position=8&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=ONPmIvNKHzEz61oZgzqGXQ%3D%3D,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.

Our mission to entertain the world is anchored in our content, and data is a crucial component in shaping our comprehensive content strategy. We focus on creating data products that support our content partners in their complex and nuanced decision-making processes. We are a highly collaborative team that partners across Netflix to drive impact.

As a Data Scientist focusing on Netflix Preview Club, you'll be at the forefront of leveraging Netflix's best-in-class audience analytics to support our creative teams.









Our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top of market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $170,000 - $720,000.

Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off. See more detail about our Benefits here.

Netflix is a unique culture and environment. Learn more here.

Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner.

We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.

Job is open for no less than 7 days and will be removed when the position is filled."
Data Scientist,DoorDash,"New York, United States",2025-04-15,https://www.linkedin.com/jobs/view/data-scientist-at-doordash-4208983059?position=9&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=wdCiHr91nY%2FGciVE2w6HGA%3D%3D,"The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers."
"Data Scientist, GTM",Notion,"San Francisco, CA",2025-04-22,https://www.linkedin.com/jobs/view/data-scientist-gtm-at-notion-4214365517?position=10&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=PZHoWG4VrP4VfylpkxhNXA%3D%3D,"About Us

We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.

We've been working on this together since 2016, and have customers like OpenAI, Toyota, Figma, Ramp, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.

Notion is an in person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).



As our Data Scientist for Go-to-Market, you will be a key business partner to our Sales and Revenue Operations team. Your work will be instrumental in shaping our data strategy as we design and implement a Go-to-Market motion. From exploring what successful customer accounts look like to creating sales pipeline forecasts, your insights will directly impact business decisions and strategy. Each day will bring new challenges and opportunities to drive meaningful change with data.
















We hire talented and passionate people from a variety of backgrounds because we want our global employee base to represent the wide diversity of our customers. If you’re excited about a role but your past experience doesn’t align perfectly with every bullet point listed in the job description, we still encourage you to apply. If you’re a builder at heart, share our company values, and enthusiastic about making software toolmaking ubiquitous, we want to hear from you.

Notion is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Notion considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, please let your recruiter know.

Notion is committed to providing highly competitive cash compensation, equity, and benefits. The compensation offered for this role will be based on multiple factors such as location, the role’s scope and complexity, and the candidate’s experience and expertise, and may vary from the range provided below. For roles based in San Francisco, the estimated base salary range for this role is $140,000 - $170,000 per year.

By clicking “Submit Application”, I understand and agree that Notion and its affiliates and subsidiaries will collect and process my information in accordance with Notion’s Global Recruiting Privacy Policy."
Data Scientist,TechHuman,"Texas, United States",2025-04-21,https://www.linkedin.com/jobs/view/data-scientist-at-techhuman-4210756145?position=11&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=tywmeneVvVJAkoKaa8BGyw%3D%3D,"Title: Sr. Data Scientist
Location: Remote, CST or EST preferred
Contract to hire"
"Data Scientist, Finance",Meta,"Menlo Park, CA",2025-04-17,https://www.linkedin.com/jobs/view/data-scientist-finance-at-meta-4208662502?position=12&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=SUsSdYhZWbS5ba49LBvuOQ%3D%3D,"Meta is seeking a highly quantitative, analytical, and motivated data scientist for the Finance Data Science team. The Finance Data Science team has a unique bird's-eye view of Meta's world class advertising business and is positioned at the center of some of the most important strategic decisions for the company. The team is responsible for understanding business drivers, accurately forecasting revenue, identifying opportunities/risks, and maximizing ROI on the largest investments across the family of apps (Facebook, Instagram, Messenger, WhatsApp). This position will focus heavily on analyzing and modeling revenue drivers, understanding the ads ecosystem, building forecast models, and developing actionable insights to influence decision making. The role is highly cross-functional and partner facing, involving coordination across a variety of data science, product, and finance teams. Ideal candidates are highly motivated and have a track record of delivering actionable and data-driven insights; you will effectively combine technical expertise and business acumen, and drive to results in a fast-paced, dynamic environment. As an individual contributor, you will also be expected to raise the quality of the data science craft at Meta, and to provide technical leadership and mentorship to other data scientists.

Data Scientist, Finance Responsibilities:



Minimum Qualifications:



Preferred Qualifications:



About Meta:

Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.

Meta is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Meta participates in the E-Verify program in certain locations, as required by law. Please note that Meta may leverage artificial intelligence and machine learning technologies in connection with applications for employment.

Meta is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.

$114,000/year to $171,000/year + bonus + equity + benefits

Individual compensation is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base hourly rate, monthly rate, or annual salary only, and do not include bonus, equity or sales incentives, if applicable. In addition to base compensation, Meta offers benefits. Learn more about benefits at Meta."
Data Scientist I,Uber,"San Francisco, CA",2025-04-26,https://www.linkedin.com/jobs/view/data-scientist-i-at-uber-4217977278?position=13&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=xyAYuWfiEkXNczk%2BTW75Gw%3D%3D,"About The Role

This role seeks to ensure that Uber's platform is secure, with users who are authenticated and unique through the use of statistics, experiment design, and data science model deployment. In this role, you will identify, measure, and mitigate adversarial activities while using technical and business skills to create anti-fraud strategies across Uber.





For San Francisco, CA-based roles: The base salary range for this role is USD$124,000 per year - USD$130,500 per year. For Sunnyvale, CA-based roles: The base salary range for this role is USD$124,000 per year - USD$130,500 per year. For all US locations, you will be eligible to participate in Uber's bonus program, and may be offered an equity award & other types of comp. You will also be eligible for various benefits. More details can be found at the following link https://www.uber.com/careers/benefits."
Data Scientist I,Uber,"Sunnyvale, CA",2025-04-26,https://www.linkedin.com/jobs/view/data-scientist-i-at-uber-4217977277?position=14&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=71Sp8IGrkWWlhwJsljQUYQ%3D%3D,"About The Role

This role seeks to ensure that Uber's platform is secure, with users who are authenticated and unique through the use of statistics, experiment design, and data science model deployment. In this role, you will identify, measure, and mitigate adversarial activities while using technical and business skills to create anti-fraud strategies across Uber.





For San Francisco, CA-based roles: The base salary range for this role is USD$124,000 per year - USD$130,500 per year. For Sunnyvale, CA-based roles: The base salary range for this role is USD$124,000 per year - USD$130,500 per year. For all US locations, you will be eligible to participate in Uber's bonus program, and may be offered an equity award & other types of comp. You will also be eligible for various benefits. More details can be found at the following link https://www.uber.com/careers/benefits."
Data Scientist,Zest AI,United States,2025-04-09,https://www.linkedin.com/jobs/view/data-scientist-at-zest-ai-4205234588?position=15&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=hBVi%2BuElv68xVoUX9SSbJQ%3D%3D,"Zest AI has been perfecting AI for consumer lending decisions since 2009. Our mission is to broaden access to equitable lending and our AI-enabled software creates some of the most inclusive risk models in the industry. Our Model Management System helps lenders make better decisions and better loans — increasing revenue, reducing risk, and automating compliance — while expanding credit access to deserving people with no added risk!"
"Graduate Intern, Data Scientist (Fall 2025)",Delta Air Lines,"Atlanta, GA",2025-04-09,https://www.linkedin.com/jobs/view/graduate-intern-data-scientist-fall-2025-at-delta-air-lines-4205703219?position=16&pageNum=0&refId=Wl%2BRibBnJKNK8biOiBWRtw%3D%3D&trackingId=j3bcqiwEXrlwcwB8uzxVew%3D%3D,"United States, Georgia, Atlanta

Operations Anlys & Performance

09-Apr-2025





How you'll help us Keep Climbing (overview & key responsibilities)

Delta Air Lines connects the world by flying 180 million customers to 300+ destinations every year. On the predictive pod of the Ops Digital Decision Science (ODDS) department, we build and deploy data science and predictive modeling tools to support this complex operation. ODDS is currently seeking a graduate-level intern Data Scientist to develop insights, machine learning models, and solutions aimed at continually improving airline performance and decision-making. Join our team to make a real-world impact by developing AI/ML solutions to deliver the best air travel experience.

An ideal candidate will have educational experience in machine learning, statistical analysis, and data storytelling. The candidate should have good organizational and communication skills and feel comfortable in a fast-paced environment."
